COLD_BLAST_FLOW_RATE,O2_FLOW,STEAM_FLOW,HOT_BLAST_TEMP,COAL_RATE_TPH,BFG_CO,BFG_CO2,BFG_H2,UPTAKE_TEMP_AVG,LOWER_K,MIDDLE_K,UPPER_K,HOT_BLAST_PRESSURE,Coke_ASH,Coke_MOISTURE,Coke_VM,Coal_ASH,Coal_VM,Coal_MOIST,I_MOISTURE_COKE,I_SLAGRATE,CIRCUIT_1_HL_MJ_H,CIRCUIT_3_HL_MJ_H,CIRCUIT_4_HL_MJ_H,Burden_CENTRECOKE,Burden_COKE,Burden_NUTCOKE,HM_TEMP (output)
299660.56,33282.25854,1.717239128,1233.977656,78.94983875,25.4503496,24.65856116,4.331336073,119.5510273,1.891743718,0.79345737,0.491641053,3.884290901,17.83127451,3.533333333,0.804705882,10.07189542,14.74084967,0.875816993,4.197254902,297.3431373,10775.13177,75780.94076,2421.918335,31.87014633,90.67884199,7.397395491,1506.931373
299685.6994,33372.59867,1.732324304,1233.983754,79.07131345,25.46725707,24.64223222,4.333075374,119.722769,1.897952317,0.782618614,0.490508371,3.883171177,17.82303922,3.533333333,0.803529412,10.06169935,14.70869281,0.867973856,4.199607843,297.0490196,10808.72409,75772.33416,2403.272134,31.97246318,90.97497305,7.413624732,1506.960784
299624.9488,33432.77801,1.742420772,1234.008576,79.19371167,25.505828,24.64176402,4.330674742,119.6429082,1.901150006,0.773231583,0.490314569,3.880883607,17.82166667,3.533333333,0.803333333,10.06,14.70333333,0.866666667,4.2,297,10818.68105,75564.71958,2382.3084,32.08282078,91.29350885,7.432430244,1506.54902
299515.7071,33495.29176,1.788864732,1234.021009,79.13924288,25.52966024,24.64508747,4.329317285,119.9245258,1.900092571,0.764356022,0.489311826,3.876767301,17.82166667,3.533333333,0.803333333,10.06,14.70333333,0.866666667,4.2,297,10825.75559,75240.71058,2369.292627,32.19664522,91.62143467,7.452751481,1506.137255
299246.2255,33550.52912,1.856285241,1234.008492,78.97099409,25.54205247,24.65892638,4.327794402,120.0926629,1.897198757,0.757400698,0.488232592,3.871858831,17.82166667,3.533333333,0.803333333,10.06,14.70333333,0.866666667,4.2,297,10830.48736,74913.70974,2362.930451,32.29566376,91.90675867,7.470348926,1505.72549
299244.1783,33603.9893,1.96642416,1233.972912,78.72158843,25.5544434,24.67028092,4.32446815,120.5554852,1.888844648,0.752806388,0.48695334,3.86708045,17.82166667,3.533333333,0.803333333,10.06,14.70333333,0.866666667,4.2,297,10837.01946,74548.09566,2341.632999,32.40466754,92.22003195,7.490956019,1505.588235
299301.3977,33665.80325,2.114401785,1234.051633,78.41027989,25.5702992,24.68510342,4.317651393,120.5462195,1.881283085,0.749832315,0.486425716,3.864420807,17.82166667,3.533333333,0.803333333,10.06,14.70333333,0.866666667,4.2,297,10843.70988,74253.07717,2315.78848,32.51082003,92.52472413,7.511603919,1505.588235
299279.9642,33726.8895,2.258612309,1234.004686,78.00707365,25.58189843,24.69830449,4.309544372,120.3141726,1.873243767,0.745486442,0.484302284,3.859691374,17.82166667,3.533333333,0.803333333,10.06,14.70333333,0.866666667,4.2,297,10850.94781,73877.59655,2305.539759,32.61491722,92.82312427,7.532441085,1506.058824
299269.8214,33782.80168,2.354319988,1234.012647,77.81612366,25.57722387,24.7042045,4.306979081,120.2199568,1.873718616,0.742708496,0.483518499,3.85982901,17.82166667,3.533333333,0.803333333,10.06,14.70333333,0.866666667,4.2,297,10860.01204,73379.09062,2291.507398,32.69810623,93.06156006,7.549137936,1506.764706
299168.758,33841.12201,2.458474904,1233.999114,77.60655803,25.59966379,24.72281736,4.302423066,120.7101637,1.875035745,0.740149395,0.483634353,3.860199856,17.82166667,3.533333333,0.803333333,10.06,14.70333333,0.866666667,4.2,297,10868.53764,72936.52375,2280.186507,32.71185395,93.10190248,7.550489064,1507.470588
298946.5619,33903.58709,2.555269484,1234.006837,77.41632619,25.61893478,24.74763363,4.296320032,120.6903767,1.881528423,0.73586113,0.482799905,3.860704041,17.82166667,3.533333333,0.803333333,10.06,14.70333333,0.866666667,4.2,297,10872.44894,72609.71084,2269.181209,32.70113462,93.07215624,7.546871441,1508.176471
298690.2672,33966.74801,2.657409457,1234.000275,77.21378917,25.62442967,24.77760296,4.291681584,119.7709449,1.884982615,0.730748852,0.483366749,3.860230581,17.82166667,3.533333333,0.803333333,10.06,14.70333333,0.866666667,4.2,297,10871.98758,72526.21794,2255.830517,32.69930764,93.0672602,7.545994071,1508.882353
298349.8964,33999.43842,2.724316441,1233.971716,77.06304849,25.62324257,24.80861593,4.286208606,119.4943231,1.883917035,0.731657698,0.484014386,3.859214283,17.82166667,3.533333333,0.803333333,10.06,14.70333333,0.866666667,4.2,297,10868.05905,72421.8524,2254.441302,32.66590811,92.97220002,7.538286488,1508.852941
298154.3888,33994.55381,2.744184766,1233.949985,76.97955988,25.61220255,24.82673219,4.280364203,119.3666026,1.8794904,0.739530326,0.48336217,3.859503302,17.82166667,3.533333333,0.803333333,10.06,14.70333333,0.866666667,4.2,297,10860.5509,72248.56975,2256.646683,32.62190004,92.84694626,7.528130778,1508.705882
298057.3824,34002.4416,2.77789192,1233.924756,76.88964986,25.62718292,24.84266986,4.272821546,119.8248049,1.870567967,0.746180724,0.481684462,3.857650357,17.82166667,3.533333333,0.803333333,10.06,14.70333333,0.866666667,4.2,297,10848.85319,72174.00059,2252.506422,32.61522692,92.82795355,7.526590828,1508.705882
298002.5175,34002.55235,2.812520956,1233.898592,76.7831949,25.63041405,24.85535818,4.264755106,119.7282852,1.860926508,0.753055632,0.480361788,3.855725041,17.82166667,3.533333333,0.803333333,10.06,14.70333333,0.866666667,4.2,297,10836.74622,72105.93028,2237.941194,32.61424484,92.8251584,7.526364194,1508.705882
298028.4675,33998.62086,2.830412948,1233.884768,76.73236353,25.62187262,24.86859267,4.258658767,119.7844281,1.852134049,0.759738058,0.478943885,3.854424498,17.82166667,3.533333333,0.803333333,10.06,14.70333333,0.866666667,4.2,297,10829.56108,72171.57545,2223.64772,32.61939677,92.83982159,7.527553102,1508.705882
